n_pkt,dropped
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
